item,factor,loading,kind,home,block
agepere,overall_severity,-0.001,bifactor_G,developmental_risk,continuous
agepere,developmental_risk,0.032,primary,developmental_risk,continuous
alp_lbstresc,overall_severity,0.106,bifactor_G,metabolic,continuous
alp_lbstresc,metabolic,0.24,primary,metabolic,continuous
alt_lbstresc,overall_severity,0.003,bifactor_G,metabolic,continuous
alt_lbstresc,metabolic,0.459,primary,metabolic,continuous
apgr0106_1min,overall_severity,-0.05,bifactor_G,developmental_risk,continuous
apgr0106_1min,developmental_risk,0.072,primary,developmental_risk,continuous
ast_lbstresc,overall_severity,-0.059,bifactor_G,metabolic,continuous
ast_lbstresc,metabolic,0.243,primary,metabolic,continuous
baso_lbstresc,overall_severity,-0.035,bifactor_G,inflammatory,continuous
baso_lbstresc,inflammatory,0.203,primary,inflammatory,continuous
bili_lbstresc,overall_severity,-0.114,bifactor_G,metabolic,continuous
bili_lbstresc,metabolic,0.017,primary,metabolic,continuous
bmi,overall_severity,0.106,bifactor_G,metabolic,continuous
bmi,metabolic,0.886,primary,metabolic,continuous
brthcirc,overall_severity,-0.004,bifactor_G,developmental_risk,continuous
brthcirc,developmental_risk,0.151,primary,developmental_risk,continuous
brthht,overall_severity,-0.033,bifactor_G,developmental_risk,continuous
brthht,developmental_risk,0.082,primary,developmental_risk,continuous
cgi01,overall_severity,0.598,g_anchor,overall_severity,continuous
chol,overall_severity,0.074,bifactor_G,metabolic,continuous
chol,metabolic,0.198,primary,metabolic,continuous
cholhdl_lbstresc,overall_severity,0.173,bifactor_G,metabolic,continuous
cholhdl_lbstresc,metabolic,0.474,primary,metabolic,continuous
creat_lbstresc,overall_severity,-0.006,bifactor_G,metabolic,continuous
creat_lbstresc,metabolic,0.187,primary,metabolic,continuous
crp,overall_severity,0.083,bifactor_G,inflammatory,continuous
crp,inflammatory,0.306,primary,inflammatory,continuous
csm,overall_severity,0.285,bifactor_G,sleep,continuous
csm,sleep,0.119,primary,sleep,continuous
ctq29,overall_severity,0.025,bifactor_G,developmental_risk,continuous
ctq29,developmental_risk,0.75,primary,developmental_risk,continuous
ctq31,overall_severity,0.114,bifactor_G,developmental_risk,continuous
ctq31,developmental_risk,0.793,primary,developmental_risk,continuous
ctq33,overall_severity,0.186,bifactor_G,developmental_risk,continuous
ctq33,developmental_risk,0.668,primary,developmental_risk,continuous
ctq35,overall_severity,0.028,bifactor_G,developmental_risk,continuous
ctq35,developmental_risk,0.524,primary,developmental_risk,continuous
ctq37,overall_severity,0.063,bifactor_G,developmental_risk,continuous
ctq37,developmental_risk,0.851,primary,developmental_risk,continuous
ctq39,overall_severity,0.125,bifactor_G,developmental_risk,continuous
ctq39,developmental_risk,1.006,primary,developmental_risk,continuous
cvlt_long_delay_free_recall,overall_severity,0.235,bifactor_G,cognition,continuous
cvlt_long_delay_free_recall,cognition,0.944,primary,cognition,continuous
cvlt_short_delay_free_recall,overall_severity,0.225,bifactor_G,cognition,continuous
cvlt_short_delay_free_recall,cognition,0.96,primary,cognition,continuous
cvlt_total_recall,overall_severity,0.26,bifactor_G,cognition,continuous
cvlt_total_recall,cognition,0.878,primary,cognition,continuous
diabpstanding,overall_severity,0.019,bifactor_G,metabolic,continuous
diabpstanding,metabolic,0.392,primary,metabolic,continuous
diabpsupine,overall_severity,0.078,bifactor_G,metabolic,continuous
diabpsupine,metabolic,0.412,primary,metabolic,continuous
