item,factor,loading,kind,home,block
agepere,overall_severity,0.02,bifactor_G,developmental_risk,continuous
agepere,developmental_risk,0.014,primary,developmental_risk,continuous
alp_lbstresc,overall_severity,0.123,bifactor_G,metabolic,continuous
alp_lbstresc,metabolic,0.233,primary,metabolic,continuous
alt_lbstresc,overall_severity,0.061,bifactor_G,metabolic,continuous
alt_lbstresc,metabolic,0.379,primary,metabolic,continuous
altman,overall_severity,-0.295,bifactor_G,mania_activation,continuous
altman,mania_activation,0.569,primary,mania_activation,continuous
apgr0106_1min,overall_severity,0.027,bifactor_G,developmental_risk,continuous
apgr0106_1min,developmental_risk,0.114,primary,developmental_risk,continuous
ast_lbstresc,overall_severity,-0.02,bifactor_G,metabolic,continuous
ast_lbstresc,metabolic,0.269,primary,metabolic,continuous
baso_lbstresc,overall_severity,-0.048,bifactor_G,inflammatory,continuous
baso_lbstresc,inflammatory,0.22,primary,inflammatory,continuous
bili_lbstresc,overall_severity,-0.022,bifactor_G,metabolic,continuous
bili_lbstresc,metabolic,0.028,primary,metabolic,continuous
bmi,overall_severity,0.086,bifactor_G,metabolic,continuous
bmi,metabolic,0.921,primary,metabolic,continuous
brthcirc,overall_severity,-0.029,bifactor_G,developmental_risk,continuous
brthcirc,developmental_risk,0.08,primary,developmental_risk,continuous
brthht,overall_severity,-0.036,bifactor_G,developmental_risk,continuous
brthht,developmental_risk,0.05,primary,developmental_risk,continuous
cgi01,overall_severity,0.678,g_anchor,overall_severity,continuous
chol,overall_severity,0.111,bifactor_G,metabolic,continuous
chol,metabolic,0.156,primary,metabolic,continuous
cholhdl_lbstresc,overall_severity,0.166,bifactor_G,metabolic,continuous
cholhdl_lbstresc,metabolic,0.426,primary,metabolic,continuous
creat_lbstresc,overall_severity,0.005,bifactor_G,metabolic,continuous
creat_lbstresc,metabolic,0.269,primary,metabolic,continuous
crp,overall_severity,0.079,bifactor_G,inflammatory,continuous
crp,inflammatory,0.294,primary,inflammatory,continuous
csm,overall_severity,0.186,bifactor_G,sleep,continuous
csm,sleep,0.138,primary,sleep,continuous
ctq29,overall_severity,-0.007,bifactor_G,developmental_risk,continuous
ctq29,developmental_risk,0.588,primary,developmental_risk,continuous
ctq31,overall_severity,0.235,bifactor_G,developmental_risk,continuous
ctq31,developmental_risk,0.673,primary,developmental_risk,continuous
ctq33,overall_severity,0.443,bifactor_G,developmental_risk,continuous
ctq33,developmental_risk,0.606,primary,developmental_risk,continuous
ctq35,overall_severity,-0.038,bifactor_G,developmental_risk,continuous
ctq35,developmental_risk,0.539,primary,developmental_risk,continuous
ctq37,overall_severity,-0.039,bifactor_G,developmental_risk,continuous
ctq37,developmental_risk,0.702,primary,developmental_risk,continuous
ctq39,overall_severity,0.172,bifactor_G,developmental_risk,continuous
ctq39,developmental_risk,0.867,primary,developmental_risk,continuous
cvlt_long_delay_free_recall,overall_severity,0.17,bifactor_G,cognition,continuous
